#      k          |W(k)|^{2}    
    0.701500      0.333234
    0.702500      0.332109
    0.703500      0.330985
    0.704500      0.329863
    0.705500      0.328742
    0.706500      0.327623
    0.707500      0.326506
    0.708500      0.325391
    0.709500      0.324277
    0.710500      0.323165
    0.711500      0.322054
    0.712500      0.320946
    0.713500      0.319839
    0.714500      0.318733
    0.715500      0.317630
    0.716500      0.316528
    0.717500      0.315428
    0.718500      0.314330
    0.719500      0.313233
    0.720500      0.312138
    0.721500      0.311045
    0.722500      0.309954
    0.723500      0.308864
    0.724500      0.307776
    0.725500      0.306690
    0.726500      0.305606
    0.727500      0.304523
    0.728500      0.303443
    0.729500      0.302364
    0.730500      0.301286
    0.731500      0.300211
    0.732500      0.299138
    0.733500      0.298066
    0.734500      0.296996
    0.735500      0.295928
    0.736500      0.294862
    0.737500      0.293797
    0.738500      0.292735
    0.739500      0.291674
    0.740500      0.290615
    0.741500      0.289558
    0.742500      0.288503
    0.743500      0.287449
    0.744500      0.286398
    0.745500      0.285348
    0.746500      0.284300
    0.747500      0.283255
    0.748500      0.282211
    0.749500      0.281168
    0.750500      0.280128
    0.751500      0.279090
    0.752500      0.278053
    0.753500      0.277019
    0.754500      0.275986
    0.755500      0.274955
    0.756500      0.273927
    0.757500      0.272900
    0.758500      0.271875
    0.759500      0.270852
    0.760500      0.269831
    0.761500      0.268811
    0.762500      0.267794
    0.763500      0.266779
    0.764500      0.265765
    0.765500      0.264754
    0.766500      0.263744
    0.767500      0.262737
    0.768500      0.261731
    0.769500      0.260728
    0.770500      0.259726
    0.771500      0.258726
    0.772500      0.257729
    0.773500      0.256733
    0.774500      0.255739
    0.775500      0.254747
    0.776500      0.253758
    0.777500      0.252770
    0.778500      0.251784
    0.779500      0.250800
    0.780500      0.249819
    0.781500      0.248839
    0.782500      0.247861
    0.783500      0.246885
    0.784500      0.245911
    0.785500      0.244940
    0.786500      0.243970
    0.787500      0.243002
    0.788500      0.242037
    0.789500      0.241073
    0.790500      0.240111
    0.791500      0.239152
    0.792500      0.238194
    0.793500      0.237239
    0.794500      0.236285
    0.795500      0.235334
    0.796500      0.234384
    0.797500      0.233437
    0.798500      0.232492
    0.799500      0.231548
    0.800500      0.230607
    0.801500      0.229668
    0.802500      0.228731
    0.803500      0.227796
    0.804500      0.226863
    0.805500      0.225932
    0.806500      0.225004
    0.807500      0.224077
    0.808500      0.223152
    0.809500      0.222230
    0.810500      0.221309
    0.811500      0.220391
    0.812500      0.219475
    0.813500      0.218561
    0.814500      0.217649
    0.815500      0.216739
    0.816500      0.215831
    0.817500      0.214925
    0.818500      0.214021
    0.819500      0.213120
    0.820500      0.212220
    0.821500      0.211323
    0.822500      0.210427
    0.823500      0.209534
    0.824500      0.208643
    0.825500      0.207754
    0.826500      0.206867
    0.827500      0.205983
    0.828500      0.205100
    0.829500      0.204220
    0.830500      0.203341
    0.831500      0.202465
    0.832500      0.201591
    0.833500      0.200719
    0.834500      0.199849
    0.835500      0.198982
    0.836500      0.198116
    0.837500      0.197253
    0.838500      0.196391
    0.839500      0.195532
    0.840500      0.194675
    0.841500      0.193820
    0.842500      0.192967
    0.843500      0.192117
    0.844500      0.191268
    0.845500      0.190422
    0.846500      0.189578
    0.847500      0.188736
    0.848500      0.187896
    0.849500      0.187058
    0.850500      0.186223
    0.851500      0.185389
    0.852500      0.184558
    0.853500      0.183729
    0.854500      0.182902
    0.855500      0.182077
    0.856500      0.181255
    0.857500      0.180434
    0.858500      0.179616
    0.859500      0.178800
    0.860500      0.177986
    0.861500      0.177174
    0.862500      0.176364
    0.863500      0.175557
    0.864500      0.174751
    0.865500      0.173948
    0.866500      0.173147
    0.867500      0.172348
    0.868500      0.171551
    0.869500      0.170757
    0.870500      0.169965
    0.871500      0.169174
    0.872500      0.168386
    0.873500      0.167600
    0.874500      0.166817
    0.875500      0.166035
    0.876500      0.165256
    0.877500      0.164479
    0.878500      0.163704
    0.879500      0.162931
    0.880500      0.162160
    0.881500      0.161392
    0.882500      0.160625
    0.883500      0.159861
    0.884500      0.159099
    0.885500      0.158339
    0.886500      0.157582
    0.887500      0.156826
    0.888500      0.156073
    0.889500      0.155322
    0.890500      0.154573
    0.891500      0.153826
    0.892500      0.153081
    0.893500      0.152339
    0.894500      0.151599
    0.895500      0.150861
    0.896500      0.150125
    0.897500      0.149391
    0.898500      0.148659
    0.899500      0.147930
    0.900500      0.147202
    0.901500      0.146477
    0.902500      0.145754
    0.903500      0.145034
    0.904500      0.144315
    0.905500      0.143599
    0.906500      0.142884
    0.907500      0.142172
    0.908500      0.141462
    0.909500      0.140755
    0.910500      0.140049
    0.911500      0.139346
    0.912500      0.138644
    0.913500      0.137945
    0.914500      0.137248
    0.915500      0.136553
    0.916500      0.135861
    0.917500      0.135170
    0.918500      0.134482
    0.919500      0.133796
    0.920500      0.133112
    0.921500      0.132430
    0.922500      0.131750
    0.923500      0.131073
    0.924500      0.130397
    0.925500      0.129724
    0.926500      0.129053
    0.927500      0.128384
    0.928500      0.127717
    0.929500      0.127053
    0.930500      0.126390
    0.931500      0.125730
    0.932500      0.125072
    0.933500      0.124416
    0.934500      0.123762
    0.935500      0.123110
    0.936500      0.122461
    0.937500      0.121813
    0.938500      0.121168
    0.939500      0.120524
    0.940500      0.119883
    0.941500      0.119244
    0.942500      0.118608
    0.943500      0.117973
    0.944500      0.117340
    0.945500      0.116710
    0.946500      0.116082
    0.947500      0.115456
    0.948500      0.114832
    0.949500      0.114210
    0.950500      0.113590
    0.951500      0.112972
    0.952500      0.112357
    0.953500      0.111743
    0.954500      0.111132
    0.955500      0.110523
    0.956500      0.109916
    0.957500      0.109311
    0.958500      0.108708
    0.959500      0.108107
    0.960500      0.107508
    0.961500      0.106912
    0.962500      0.106317
    0.963500      0.105725
    0.964500      0.105134
    0.965500      0.104546
    0.966500      0.103960
    0.967500      0.103376
    0.968500      0.102794
    0.969500      0.102214
    0.970500      0.101637
    0.971500      0.101061
    0.972500      0.100487
    0.973500      0.099916
    0.974500      0.099346
    0.975500      0.098779
    0.976500      0.098214
    0.977500      0.097651
    0.978500      0.097089
    0.979500      0.096530
    0.980500      0.095973
    0.981500      0.095418
    0.982500      0.094865
    0.983500      0.094315
    0.984500      0.093766
    0.985500      0.093219
    0.986500      0.092674
    0.987500      0.092132
    0.988500      0.091591
    0.989500      0.091053
    0.990500      0.090516
    0.991500      0.089982
    0.992500      0.089449
    0.993500      0.088919
    0.994500      0.088390
    0.995500      0.087864
    0.996500      0.087340
    0.997500      0.086818
    0.998500      0.086297
    0.999500      0.085779
